time,azimuth,fx1,fy1,fz1,mx1,my1,mz1,fx2,fy2,fz2,mx2,my2,mz2,fx3,fy3,fz3,mx3,my3,mz3,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Fx3,Fy3,Fz3,Mx3,My3,Mz3,Gauge1,Gauge2,Gauge3,Gauge4,Gauge5,Gauge6,Gauge7,
0.00500,1.54332,47.35730,11.88098,-0.32010,-12.46379,49.73799,0.56541,44.92131,-5.78321,-9.42134,7.37522,28.66592,17.15128,45.22340,-5.37635,9.91988,11.36306,59.33127,-17.82314,47.35730,11.86805,-0.63998,-12.46379,49.73518,-0.77438,44.92131,-5.00385,9.85742,7.37522,-0.37929,-33.40295,45.22340,-6.15954,-9.45353,11.36306,-12.60130,60.65535,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.01000,3.08664,62.56142,18.92486,-1.02051,-19.61894,65.00567,1.54562,64.40439,-9.48867,-14.56301,11.68247,40.30688,25.23692,65.03175,-8.23087,16.21456,18.01634,86.89332,-27.15949,62.56142,18.84245,-2.03806,-19.61894,64.99459,-1.95692,64.40439,-7.02163,15.90009,11.68247,-0.85914,-47.54796,65.03175,-10.73275,-14.67880,18.01634,-15.11372,89.77562,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.01500,4.62996,62.58485,18.90020,-1.53062,-19.34677,64.35325,2.31801,64.28181,-9.77158,-14.14888,11.63552,40.54555,24.72791,65.05735,-7.85296,16.56063,17.81297,87.33718,-27.53130,62.58485,18.71497,-3.05125,-19.34677,64.33036,-2.88416,64.28181,-6.08932,16.08088,11.63552,-2.69389,-47.41470,65.05735,-11.59882,-14.19123,17.81297,-12.54456,90.71047,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.02000,6.17328,62.57656,18.84632,-2.03847,-19.03217,63.66679,3.08771,64.02956,-10.01590,-13.69838,11.55881,40.72364,24.14795,64.93679,-7.43982,16.84705,17.52503,87.55788,-27.81056,62.57656,18.51783,-4.05331,-19.03217,63.62964,-3.77665,64.02956,-5.14615,16.17038,11.55881,-4.54320,-47.12640,64.93679,-12.40572,-13.61147,17.52503,-9.93061,91.33013,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.02500,7.71660,62.56768,18.77837,-2.54448,-18.69165,62.97911,3.85495,63.71929,-10.22777,-13.22527,11.46257,40.87861,23.53298,64.78619,-7.01141,17.10971,17.19451,87.71581,-28.05117,62.56768,18.26667,-5.04287,-18.69165,62.92641,-4.63638,63.71929,-4.20489,16.18128,11.46257,-6.39207,-46.73333,64.78619,-13.17330,-12.97559,17.19451,-7.30448,91.80183,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.03000,9.25992,62.56025,18.69777,-3.04845,-18.32740,62.29273,4.61931,63.33627,-10.40439,-12.72984,11.34543,41.00057,22.87858,64.58286,-6.56439,17.33548,16.81029,87.77806,-28.24126,62.56025,17.96357,-6.01745,-18.32740,62.22427,-5.46462,63.33627,-3.27219,16.11189,11.34543,-8.23228,-46.22452,64.58286,-13.88744,-12.27799,16.81029,-4.67363,92.09080,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.03500,10.80324,62.55156,18.60283,-3.54977,-17.93863,61.60544,5.38006,62.90960,-10.55606,-12.22791,11.21993,41.10548,22.19868,64.35398,-6.10502,17.53442,16.38384,87.78139,-28.39273,62.55156,17.60777,-6.97372,-17.93863,61.52201,-6.26243,62.90960,-2.35802,15.98099,11.21993,-10.05746,-45.62115,64.35398,-14.55201,-11.53110,16.38384,-2.04972,92.23621,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.04000,12.34657,62.54204,18.49384,-4.04806,-17.52649,60.91821,6.13662,62.43244,-10.67734,-11.71510,11.08132,41.18687,21.49327,64.09622,-5.63417,17.70385,15.91367,87.71936,-28.50238,62.54204,17.20054,-7.90887,-17.52649,60.82146,-7.03110,62.43244,-1.46604,15.78290,11.08132,-11.85870,-44.91871,64.09622,-15.16153,-10.73769,15.91367,0.55849,92.23209,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.04500,13.88989,62.53320,18.37217,-4.54321,-17.09321,60.23301,6.88860,61.94022,-10.78141,-11.20750,10.94383,41.26957,20.77349,63.81486,-5.15365,17.84341,15.40155,87.59889,-28.57243,62.53320,16.74432,-8.82072,-17.09321,60.12538,-7.77217,61.94022,-0.60247,15.53975,10.94383,-13.64025,-44.14362,63.81486,-15.71264,-9.90253,15.40155,3.14309,92.08730,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.05000,15.43321,62.52490,18.23798,-5.03495,-16.63986,59.55017,7.63542,61.30823,-10.83456,-10.67195,10.77394,41.26851,19.99999,63.51208,-4.66405,17.94821,14.84666,87.42413,-28.60517,62.52490,16.24047,-9.70680,-16.63986,59.43477,-8.48709,61.30823,0.22996,15.20609,10.77394,-15.36624,-43.20843,63.51208,-16.19822,-9.02825,14.84666,5.69775,91.80833,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
