time,angle_deg,tsr,cp,cd,ct,cd_blade1,ct_blade1,cd_blade2,ct_blade2,cd_blade3,ct_blade3
0.00625,1.92915082536,4,0.27642636636,0.381582206025,0.0691065915899,124.681246667,23.0025897211,124.681246668,23.0025897214,124.681246668,23.0025897214
0.0135416666667,4.17982678827,4,0.441326839287,0.546989970751,0.110331709822,179.720653887,36.7209931467,179.630908212,36.7092480926,179.876209449,36.7436942374
0.02265625,6.99317174192,4,0.440905381043,0.547511771987,0.110226345261,179.879713309,36.6819806535,179.844764002,36.6782115305,180.037972,36.708529403
0.036328125,11.2131891724,4,0.440334176346,0.548036928829,0.110083544087,180.057035394,36.6324490194,180.055655139,36.6367889148,180.190511238,36.6568866843
0.05,15.4332066029,4,0.439612787868,0.548904218922,0.109903196967,180.349139672,36.5690579146,180.359664753,36.5799223508,180.485283558,36.5970551299
0.0666666666667,20.5776088038,4,0.439161151639,0.549696547548,0.10979028791,180.598636022,36.5265046354,180.649553077,36.5472407596,180.760987491,36.5595424029
0.0833333333333,25.7220110048,4,0.43858822894,0.550438665002,0.109647057235,180.820193626,36.4697804976,180.929859276,36.5055746902,181.028070259,36.5149067552
0.1,30.8664132057,4,0.438083806158,0.55098961443,0.109520951539,181.007160033,36.4287886943,181.130311024,36.4696141419,181.218947545,36.4659337425
0.116666666667,36.0108154067,4,0.437849730608,0.551415670228,0.109462432652,181.171363659,36.4041810868,181.282364401,36.453275944,181.356250288,36.4484443426
0.133333333333,41.1552176076,4,0.4377715276,0.551745588483,0.1094428819,181.307778428,36.4034034643,181.373492447,36.4439573837,181.485694829,36.4390177308
0.15,46.2996198086,4,0.437819578634,0.551951685945,0.109454894658,181.378156906,36.4079138767,181.437004177,36.4477390034,181.584651784,36.442721279
0.166666666667,51.4440220095,4,0.437940772126,0.552069268049,0.109485193031,181.432798237,36.4156261976,181.50028,36.4611872217,181.610888398,36.4518157861
0.183333333333,56.5884242105,4,0.438108949394,0.552132480352,0.109527237348,181.46533073,36.4322859659,181.551912094,36.4819863932,181.616341059,36.4563410399
0.2,61.7328264114,4,0.438281085047,0.552255380007,0.109570271262,181.51564676,36.4486110468,181.586115985,36.492027416,181.680806667,36.4729473111
0.216666666667,66.8772286124,4,0.438471108351,0.552421917601,0.109617777088,181.565340924,36.4669856468,181.653767775,36.5146969562,181.755741471,36.4793410636
0.233333333333,72.0216308133,4,0.43863142277,0.552662383962,0.109657855692,181.617045199,36.4743017088,181.755628992,36.5305665727,181.867999867,36.4961766773
0.25,77.1660330143,4,0.438767509609,0.55301804943,0.109691877402,181.745431243,36.4869939926,181.880646377,36.5430819599,181.99512474,36.5049420651
0.266666666667,82.3104352152,4,0.438869905347,0.553544095419,0.109717476337,181.966382187,36.5028004931,182.02627201,36.5518098762,182.178900843,36.5059699764
0.283333333333,87.4548374162,4,0.438849123345,0.554093804353,0.109712280836,182.157232713,36.5062287072,182.2049061,36.5472067278,182.383100555,36.5019568396
0.3,92.5992396171,4,0.438542225156,0.554613329402,0.109635556289,182.331693184,36.4853870255,182.409930949,36.5313030488,182.546882898,36.4620873692
0.325,100.315842919,4,0.438283722948,0.554732241546,0.109570930737,182.419673665,36.4860587678,182.472358804,36.5025601567,182.539439656,36.4256253815
0.35,108.03244622,4,0.436008296497,0.554602632732,0.109002074124,182.397013724,36.3021273465,182.477212583,36.320980138,182.46338161,36.2230936737
0.375,115.749049521,4,0.433483968691,0.554511824696,0.108370992173,182.407789994,36.1047441623,182.510060071,36.1216689959,182.3638103,35.9896084957
0.4,123.465652823,4,0.430514909947,0.553933747546,0.107628727487,182.267871439,35.8737781923,182.346976363,35.8683903602,182.123364819,35.7326498539
0.425,131.182256124,4,0.427760973562,0.553142390638,0.10694024339,182.053155288,35.6505430846,182.100960876,35.6351968588,181.826619946,35.501578899
0.45,138.898859426,4,0.425507548732,0.552175965779,0.106376887183,181.778065941,35.460176563,181.811295547,35.4538340715,181.457930659,35.3107576
0.475,146.615462727,4,0.423537817732,0.551009324421,0.105884454433,181.51032446,35.3240326517,181.394473251,35.2601462903,181.007892999,35.1488607211
0.5,154.332066029,4,0.421868053182,0.549970226945,0.105467013296,181.230748587,35.2164159442,180.967031036,35.0555521005,180.706357182,35.0442274219
0.525,162.04866933,4,0.420859258151,0.549354644995,0.105214814538,181.000893142,35.1417403574,180.837873962,34.9600036467,180.478501451,34.9626133488
0.55,169.765272631,4,0.420400904207,0.548952867463,0.105100226052,180.823960991,35.0850761629,180.798897518,34.9574887186,180.319900739,34.9073678472
0.575,177.481875933,4,0.420255168411,0.548705227461,0.105063792103,180.710524359,35.0477532629,180.702510301,34.9381762322,180.30802636,34.927621385
0.6,185.198479234,4,0.419472179796,0.548184317081,0.104868044949,180.566343686,34.99087118,180.573002761,34.8453888134,180.086128754,34.8818236513
0.625,192.915082536,4,0.418398657795,0.547664779609,0.104599664449,180.500685072,34.9426748963,180.490173303,34.7843784178,179.739440465,34.7230336146
0.65,200.631685837,4,0.417139637169,0.547100792289,0.104284909292,180.378564972,34.8847604724,180.251586288,34.7048721406,179.559790218,34.5461492588
0.675,208.348289138,4,0.416939192379,0.547136862347,0.104234798095,180.235056532,34.7933369212,179.974630907,34.6205465965,180.038177318,34.6718588158
0.7,216.06489244,4,0.416327650953,0.546804794139,0.104081912738,179.981399889,34.6329914721,179.6438124,34.4832501541,180.311978573,34.816833977
0.725,223.781495741,4,0.41486147472,0.546124319093,0.10371536868,179.791691694,34.5210902575,179.41359685,34.3528804809,180.072415433,34.6930849643
0.75,231.498099043,4,0.41288317203,0.545075346839,0.103220793007,179.530142768,34.3916411676,179.118529214,34.2173717885,179.600874988,34.4641743173
0.775,239.214702344,4,0.41147177455,0.544341399751,0.102867943637,179.366088922,34.3042992613,178.826969658,34.0968319016,179.342181699,34.3197113152
0.8,246.931305646,4,0.410182113964,0.543594043501,0.102545528491,179.292792422,34.2505884964,178.480519635,33.9819066321,179.033607717,34.1663932568
0.825,254.647908947,4,0.409694223355,0.543215222715,0.102423555839,179.362636624,34.2822700512,178.274412805,33.9406981545,178.808894952,34.0541219483
0.85,262.364512248,4,0.408677570663,0.542297026953,0.102169392666,178.934375117,34.1722978203,178.069752453,33.9312482941,178.541457746,33.9197443198
0.875,270.08111555,4,0.406411974867,0.540931625217,0.101602993717,177.811466333,33.6506612982,177.896502023,33.9071936395,178.489480901,33.899846498
0.9,277.797718851,4,0.403727127451,0.539450568725,0.100931781863,176.689860145,33.1119606922,177.714107614,33.8273722098,178.328731805,33.8481165126
0.925,285.514322153,4,0.403338388477,0.539172058203,0.100834597119,176.806888064,33.1739783505,177.489122752,33.7304350657,178.171785154,33.785990229
0.95,293.230925454,4,0.403432846141,0.539112713126,0.100858211535,177.281827721,33.3894863916,177.169075912,33.6092693624,177.970119165,33.7152285386
0.975,300.947528756,4,0.403076946192,0.538880938707,0.100769236548,177.589267672,33.4722552291,176.833825514,33.505462242,177.778321487,33.6474190687
1,308.664132057,4,0.401268798668,0.537760320078,0.100317199667,177.530729337,33.4387474189,176.050080504,33.1866247406,177.512765896,33.5483739121
1.025,316.380735358,4,0.4000146251,0.537034492666,0.100003656275,177.520445759,33.4932057262,175.443065189,32.8575531061,177.415775741,33.5098922141
1.05,324.09733866,4,0.400457940944,0.537393785319,0.100114485236,177.309351588,33.4794716744,176.082172743,33.0137541304,177.356555657,33.4780957173
